time_sec,distance_cm,label
0.0,17,active
0.0,16,active
0.0,19,active
0.0,19,active
0.0,18,active
0.0,18,active
0.0,18,active
0.0,18,active
0.11,17,active
0.31,18,active
0.51,19,active
0.71,20,active
0.91,22,active
1.11,19,active
1.31,18,active
1.52,20,active
1.71,19,active
1.91,19,active
2.11,19,active
2.31,18,active
2.51,21,active
2.71,19,active
2.91,18,active
3.12,19,active
3.31,18,active
3.51,19,active
3.71,18,active
3.91,18,active
4.11,16,active
4.31,2,active
4.51,2,active
4.72,5,active
4.91,3,active
5.11,17,active
5.31,2,active
5.51,1,active
5.71,2,active
5.91,2,active
6.11,1,active
6.31,2,active
6.51,6,active
6.71,20,active
6.91,6,active
7.11,5,active
7.31,6,active
7.51,8,active
7.71,42,active
7.91,49,active
8.11,40,active
8.31,37,active
8.51,36,active
8.71,36,active
8.91,36,active
9.11,37,active
9.31,36,active
9.51,36,active
9.71,39,active
9.92,16,active
10.11,12,active
10.31,15,active
10.51,14,active
10.71,14,active
10.91,16,active
11.11,15,active
11.31,16,active
11.52,14,active
11.71,14,active
11.91,16,active
12.11,14,active
12.31,14,active
12.51,13,active
12.71,13,active
12.91,14,active
13.11,14,active
13.31,14,active
13.51,23,active
13.74,-1,active
13.91,31,active
14.11,42,active
14.31,36,active
14.51,39,active
14.71,38,active
14.91,39,active
15.11,37,active
15.31,40,active
15.51,41,active
15.71,48,active
15.91,47,active
16.11,49,active
16.31,51,active
16.51,50,active
16.71,53,active
16.91,49,active
17.11,49,active
17.31,49,active
17.51,49,active
17.74,-1,active
17.91,43,active
18.11,16,active
18.31,10,active
18.51,11,active
18.71,12,active
18.91,14,active
19.11,17,active
19.32,18,active
19.51,19,active
19.71,17,active
19.92,17,active
20.11,16,active
20.31,16,active
20.51,16,active
20.71,14,active
