mean_distance,std_distance,range_distance,rate_of_change,presence_duration,label
51.5,0.5,1,0.1111111111111111,2.0,sedentary
54.4,3.0724582991474434,7,1.3333333333333333,2.0,sedentary
54.8,2.821347195933177,7,1.4444444444444444,2.0,sedentary
52.4,0.66332495807108,2,0.2222222222222222,2.0,sedentary
52.2,0.4,1,0.2222222222222222,2.0,sedentary
52.2,0.4,1,0.2222222222222222,2.0,sedentary
52.0,0.0,0,0.0,2.0,sedentary
52.0,0.0,0,0.0,2.0,sedentary
52.0,0.4472135954999579,2,0.4444444444444444,2.0,sedentary
51.8,1.2489995996796797,4,1.1111111111111112,2.0,sedentary
51.3,1.1874342087037917,4,0.6666666666666666,2.0,sedentary
51.0,0.0,0,0.0,2.0,sedentary
51.3,0.45825756949558405,1,0.3333333333333333,2.0,sedentary
52.1,0.7,2,0.6666666666666666,2.0,sedentary
52.6,0.4898979485566356,1,0.3333333333333333,2.0,sedentary
52.3,0.45825756949558394,1,0.1111111111111111,2.0,sedentary
51.9,0.3,1,0.2222222222222222,2.0,sedentary
51.8,0.7483314773547882,2,0.5555555555555556,2.0,sedentary
51.7,0.7810249675906654,2,0.4444444444444444,2.0,sedentary
51.3,0.7810249675906654,2,1.0,2.0,sedentary
51.1,0.8306623862918074,2,1.4444444444444444,2.0,sedentary
51.0,0.7745966692414834,2,1.1111111111111112,2.0,sedentary
51.0,1.1832159566199232,4,1.4444444444444444,2.0,sedentary
50.6,1.2,4,0.7777777777777778,2.0,sedentary
50.3,0.45825756949558405,1,0.1111111111111111,2.0,sedentary
51.1,0.7,2,0.4444444444444444,2.0,sedentary
51.0,0.7745966692414834,2,0.6666666666666666,2.0,sedentary
51.4,2.3323807579381204,6,0.8888888888888888,2.0,sedentary
52.1,2.1656407827707715,6,1.4444444444444444,2.0,sedentary
51.7,1.345362404707371,5,1.1111111111111112,2.0,sedentary
51.3,1.3453624047073711,5,1.1111111111111112,2.0,sedentary
50.9,0.5385164807134504,2,0.5555555555555556,2.0,sedentary
50.9,0.3,1,0.2222222222222222,2.0,sedentary
50.9,0.3,1,0.2222222222222222,2.0,sedentary
50.9,0.3,1,0.1111111111111111,2.0,sedentary
50.7,0.45825756949558394,1,0.2222222222222222,2.0,sedentary
