time_sec,distance_cm,label
0.0,-1,not_present
0.0,377,not_present
0.0,377,not_present
0.0,377,not_present
0.0,-1,not_present
0.0,-1,not_present
0.0,-1,not_present
0.0,377,not_present
0.15,-1,not_present
0.35,-1,not_present
0.55,-1,not_present
0.75,378,not_present
0.95,-1,not_present
1.15,-1,not_present
1.35,-1,not_present
1.55,-1,not_present
1.76,-1,not_present
1.95,-1,not_present
2.15,377,not_present
2.34,377,not_present
2.54,376,not_present
2.74,377,not_present
2.95,-1,not_present
3.15,-1,not_present
3.34,377,not_present
3.55,-1,not_present
3.74,377,not_present
3.95,376,not_present
4.15,377,not_present
4.34,377,not_present
4.54,377,not_present
4.75,-1,not_present
4.95,-1,not_present
5.15,-1,not_present
5.34,377,not_present
5.54,377,not_present
5.75,376,not_present
5.95,-1,not_present
6.14,376,not_present
6.34,376,not_present
6.54,376,not_present
6.74,377,not_present
6.94,376,not_present
7.14,378,not_present
7.34,377,not_present
7.55,378,not_present
7.76,-1,not_present
7.95,-1,not_present
8.15,-1,not_present
8.35,-1,not_present
8.54,377,not_present
8.74,377,not_present
8.94,376,not_present
9.14,376,not_present
9.34,376,not_present
9.54,376,not_present
9.75,-1,not_present
9.95,378,not_present
10.14,377,not_present
10.34,377,not_present
10.55,-1,not_present
10.74,377,not_present
10.94,377,not_present
11.15,-1,not_present
11.35,-1,not_present
11.55,-1,not_present
11.76,-1,not_present
11.95,-1,not_present
12.15,-1,not_present
12.35,-1,not_present
12.55,-1,not_present
12.75,-1,not_present
12.95,-1,not_present
13.15,-1,not_present
13.35,-1,not_present
13.56,-1,not_present
13.75,-1,not_present
13.95,-1,not_present
14.15,-1,not_present
14.35,-1,not_present
14.55,-1,not_present
14.75,-1,not_present
14.95,-1,not_present
15.15,-1,not_present
15.35,-1,not_present
15.55,-1,not_present
15.75,-1,not_present
15.95,-1,not_present
16.15,-1,not_present
16.35,-1,not_present
16.55,-1,not_present
16.75,-1,not_present
16.96,-1,not_present
17.15,-1,not_present
17.35,-1,not_present
17.55,-1,not_present
17.75,-1,not_present
17.95,-1,not_present
18.15,-1,not_present
18.35,-1,not_present
18.56,-1,not_present
18.75,-1,not_present
18.95,-1,not_present
19.15,-1,not_present
19.35,-1,not_present
19.55,-1,not_present
19.75,-1,not_present
19.95,-1,not_present
20.15,-1,not_present
20.35,-1,not_present
20.55,-1,not_present
20.75,-1,not_present
20.95,-1,not_present
21.15,-1,not_present
21.35,-1,not_present
21.55,-1,not_present
21.75,-1,not_present
21.95,-1,not_present
22.16,-1,not_present
22.35,-1,not_present
22.55,-1,not_present
22.75,-1,not_present
22.95,-1,not_present
23.15,-1,not_present
23.35,-1,not_present
23.55,-1,not_present
23.75,-1,not_present
23.95,-1,not_present
24.15,-1,not_present
24.35,-1,not_present
24.55,-1,not_present
24.75,-1,not_present
24.95,-1,not_present
25.15,-1,not_present
25.35,-1,not_present
25.55,-1,not_present
25.75,-1,not_present
25.95,-1,not_present
26.15,-1,not_present
26.35,-1,not_present
26.55,-1,not_present
26.75,-1,not_present
26.95,-1,not_present
27.15,-1,not_present
27.35,-1,not_present
27.55,-1,not_present
27.75,-1,not_present
27.95,-1,not_present
28.15,-1,not_present
28.35,-1,not_present
28.55,-1,not_present
28.75,-1,not_present
28.95,-1,not_present
29.15,-1,not_present
29.35,-1,not_present
29.56,-1,not_present
29.75,-1,not_present
29.95,-1,not_present
30.15,-1,not_present
30.35,-1,not_present
30.55,-1,not_present
30.75,-1,not_present
30.95,-1,not_present
31.15,-1,not_present
31.35,-1,not_present
31.55,-1,not_present
31.75,-1,not_present
31.95,-1,not_present
32.15,-1,not_present
32.35,-1,not_present
32.55,-1,not_present
32.75,-1,not_present
32.95,-1,not_present
33.16,-1,not_present
33.35,-1,not_present
33.55,-1,not_present
33.75,-1,not_present
33.95,-1,not_present
34.15,-1,not_present
34.35,-1,not_present
34.55,-1,not_present
34.75,-1,not_present
34.96,-1,not_present
35.15,-1,not_present
35.35,-1,not_present
35.55,-1,not_present
35.75,-1,not_present
35.95,-1,not_present
36.15,-1,not_present
36.35,-1,not_present
36.55,-1,not_present
36.75,-1,not_present
36.95,-1,not_present
37.16,-1,not_present
37.35,-1,not_present
37.55,-1,not_present
37.75,-1,not_present
37.95,-1,not_present
38.15,-1,not_present
38.35,-1,not_present
