time_sec,distance_cm,label
0.0,51,sedentary
0.0,51,sedentary
0.0,51,sedentary
0.0,51,sedentary
0.0,50,sedentary
0.0,51,sedentary
0.0,52,sedentary
0.0,51,sedentary
0.13,52,sedentary
0.33,51,sedentary
0.53,51,sedentary
0.73,50,sedentary
0.93,50,sedentary
1.13,50,sedentary
1.33,51,sedentary
1.53,50,sedentary
1.73,50,sedentary
1.93,51,sedentary
2.13,51,sedentary
2.33,51,sedentary
2.53,51,sedentary
2.73,51,sedentary
2.93,51,sedentary
3.12,52,sedentary
3.33,52,sedentary
3.53,52,sedentary
3.73,52,sedentary
3.93,52,sedentary
4.13,53,sedentary
4.33,59,sedentary
4.53,59,sedentary
4.73,59,sedentary
4.93,54,sedentary
5.13,54,sedentary
5.33,53,sedentary
5.53,53,sedentary
5.73,52,sedentary
5.92,52,sedentary
6.13,52,sedentary
6.33,52,sedentary
6.53,52,sedentary
6.73,52,sedentary
6.93,52,sedentary
7.13,52,sedentary
7.33,53,sedentary
7.53,53,sedentary
7.73,52,sedentary
7.93,52,sedentary
8.13,52,sedentary
8.33,52,sedentary
8.53,52,sedentary
8.73,52,sedentary
8.93,52,sedentary
9.13,52,sedentary
9.33,52,sedentary
9.53,52,sedentary
9.73,52,sedentary
9.93,52,sedentary
10.13,52,sedentary
10.33,52,sedentary
10.53,52,sedentary
10.73,52,sedentary
10.93,52,sedentary
11.13,52,sedentary
11.33,51,sedentary
11.53,52,sedentary
11.73,53,sedentary
11.93,52,sedentary
12.13,53,sedentary
12.33,54,sedentary
12.53,51,sedentary
12.73,50,sedentary
12.93,50,sedentary
13.12,51,sedentary
13.33,51,sedentary
13.53,51,sedentary
13.73,51,sedentary
13.93,51,sedentary
14.13,51,sedentary
14.33,51,sedentary
14.53,51,sedentary
14.73,51,sedentary
14.93,51,sedentary
15.13,51,sedentary
15.33,52,sedentary
15.53,51,sedentary
15.73,52,sedentary
15.93,52,sedentary
16.13,53,sedentary
16.33,52,sedentary
16.53,52,sedentary
16.73,53,sedentary
16.93,53,sedentary
17.13,53,sedentary
17.33,53,sedentary
17.53,53,sedentary
17.72,52,sedentary
17.93,52,sedentary
18.13,52,sedentary
18.33,52,sedentary
18.53,52,sedentary
18.73,52,sedentary
18.93,52,sedentary
19.12,52,sedentary
19.33,52,sedentary
19.53,52,sedentary
19.73,51,sedentary
19.93,52,sedentary
20.13,51,sedentary
20.33,51,sedentary
20.52,51,sedentary
20.73,53,sedentary
20.93,53,sedentary
21.13,52,sedentary
21.33,52,sedentary
21.53,52,sedentary
21.73,51,sedentary
21.93,51,sedentary
22.13,50,sedentary
22.33,52,sedentary
22.53,50,sedentary
22.73,52,sedentary
22.93,51,sedentary
23.13,52,sedentary
23.33,51,sedentary
23.53,50,sedentary
23.73,52,sedentary
23.93,51,sedentary
24.13,51,sedentary
24.33,50,sedentary
24.53,52,sedentary
24.73,51,sedentary
24.92,50,sedentary
25.13,51,sedentary
25.33,54,sedentary
25.53,51,sedentary
25.73,50,sedentary
25.93,50,sedentary
26.13,50,sedentary
26.33,50,sedentary
26.53,50,sedentary
26.73,50,sedentary
26.93,50,sedentary
27.13,50,sedentary
27.33,50,sedentary
27.53,51,sedentary
27.73,51,sedentary
27.93,51,sedentary
28.13,51,sedentary
28.33,52,sedentary
28.53,51,sedentary
28.73,52,sedentary
